"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";
"30.11.2025";"12:00:00";"Sonntag";"26";"Spieltag 3";"SV Blau-Weiß Aasee";"RC Sorpesee";"TuB Bocholt";"TuB Bocholt";"0:2 / 17:50";"Langenberghalle (46397 Bocholt)";"0:2 / 17:50";"2025/26";"NRW-Liga wU18";"weiblich";"0:2";"17:50";"53";"0";":";"2";"6";":";"25";"35";"11";":";"25";"18";
"30.11.2025";"13:00:00";"Sonntag";"21";"Spieltag 3";"VoR Paderborn";"USC Münster";"VV Humann Essen";"USC Münster";"1:2 / 61:61";"Halle Berg Fidel (48151 Münster)";"1:2 / 61:61";"2025/26";"NRW-Liga wU18";"weiblich";"1:2";"61:61";"63";"1";":";"2";"26";":";"28";"27";"25";":";"18";"22";"10";":";"15";"14";
"30.11.2025";"13:00:00";"Sonntag";"24";"Spieltag 3";"RSV Borken";"Werdener TB";"SC Hennen";"Werdener TB";"2:0 / 50:35";"Sporthalle Werden (45239 Essen)";"2:0 / 50:35";"2025/26";"NRW-Liga wU18";"weiblich";"2:0";"50:35";"102";"2";":";"0";"25";":";"14";"81";"25";":";"21";"21";
"30.11.2025";"13:00:00";"Sonntag";"27";"Spieltag 3";"RC Sorpesee";"TuB Bocholt";"SV Blau-Weiß Aasee";"TuB Bocholt";"2:1 / 64:52";"Langenberghalle (46397 Bocholt)";"2:1 / 64:52";"2025/26";"NRW-Liga wU18";"weiblich";"2:1";"64:52";"95";"2";":";"1";"25";":";"19";"52";"24";":";"26";"28";"15";":";"7";"15";
"14.12.2025";"11:00:00";"Sonntag";"28";"Spieltag 4";"VV Humann Essen";"RC Sorpesee";"SC Hennen";"VV Humann Essen";"Carl-Humann Gymnasium (45276 Essen)";"Carl-Humann Gymnasium (45276 Essen)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"11:00:00";"Sonntag";"31";"Spieltag 4";"SV Blau-Weiß Aasee";"VoR Paderborn";"RSV Borken";"SV Blau-Weiß Aasee";"Sporthalle der Bonhoeffer Schule (48151 Münster)";"Sporthalle der Bonhoeffer Schule (48151 Münster)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"11:00:00";"Sonntag";"34";"Spieltag 4";"USC Münster";"TuB Bocholt";"Werdener TB";"USC Münster";"Halle Berg Fidel (48151 Münster)";"Halle Berg Fidel (48151 Münster)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"12:00:00";"Sonntag";"29";"Spieltag 4";"RC Sorpesee";"SC Hennen";"VV Humann Essen";"VV Humann Essen";"Carl-Humann Gymnasium (45276 Essen)";"Carl-Humann Gymnasium (45276 Essen)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"12:00:00";"Sonntag";"32";"Spieltag 4";"VoR Paderborn";"RSV Borken";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee";"Sporthalle der Bonhoeffer Schule (48151 Münster)";"Sporthalle der Bonhoeffer Schule (48151 Münster)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"12:00:00";"Sonntag";"35";"Spieltag 4";"TuB Bocholt";"Werdener TB";"USC Münster";"USC Münster";"Halle Berg Fidel (48151 Münster)";"Halle Berg Fidel (48151 Münster)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"13:00:00";"Sonntag";"30";"Spieltag 4";"SC Hennen";"VV Humann Essen";"RC Sorpesee";"VV Humann Essen";"Carl-Humann Gymnasium (45276 Essen)";"Carl-Humann Gymnasium (45276 Essen)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"13:00:00";"Sonntag";"33";"Spieltag 4";"RSV Borken";"SV Blau-Weiß Aasee";"VoR Paderborn";"SV Blau-Weiß Aasee";"Sporthalle der Bonhoeffer Schule (48151 Münster)";"Sporthalle der Bonhoeffer Schule (48151 Münster)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
"14.12.2025";"13:00:00";"Sonntag";"36";"Spieltag 4";"Werdener TB";"USC Münster";"TuB Bocholt";"USC Münster";"Halle Berg Fidel (48151 Münster)";"Halle Berg Fidel (48151 Münster)";"-";"2025/26";"NRW-Liga wU18";"weiblich";
