Datum und Uhrzeit;Wochentag;#;ST;Heim;Mannschaft 1: Verein;Gast;Mannschaft 2: Verein;SR;Schiedsgericht: Verein;Gastgeber;Gastgeber: Verein;Austragungsort/Ergebnis;Ort;Ergebnis;Saison;Spielrunde;Geschlecht;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;Satzpunkte 2;Satz 1 - Ballpunkte 1;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer;Datum;Uhrzeit;USC_Team;Gruppen-Ebene;Spielgruppe;Spielfeld;Feldrunde;Datum_DT;Tag
"""21.03.2026, 17:15:00""";"""Samstag""";"""2509""";;"""Dresdner SC""";"""Dresdner SC 1898 e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Dresdner SC""";"""Dresdner SC 1898 e.V.""";"""3:0 / 78:67""";"""Margon Arena (01277 Dresden)""";"""3:0 / 78:67""";"""2025/26""";"""1. Bundesliga Frauen Playoff""";"""weiblich""";"""78:67""";"""78""";"""2480""";"""3""";"""0""";"""28""";"""26""";"""31""";"""25""";"""22""";"""26""";"""25""";"""19""";"""21""";;;;;;;;;USC1;"""2""";"""Viertelfinale Playoff 4-5 (Best of 3)""";"""""";"""-""";;
"""25.03.2026, 19:30:00""";"""Mittwoch""";"""2510""";;"""USC1""";"""USC Münster e.V.""";"""Dresdner SC""";"""Dresdner SC 1898 e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""2:3 / 109:112""";"""Sporthalle Berg Fidel (48153 Münster)""";"""2:3 / 109:112""";"""2025/26""";"""1. Bundesliga Frauen Playoff""";"""weiblich""";"""109:112""";"""128""";"""1911""";"""2""";"""3""";"""20""";"""25""";"""23""";"""25""";"""22""";"""26""";"""25""";"""22""";"""30""";"""23""";"""25""";"""29""";"""16""";"""18""";"""20""";;;USC1;"""2""";"""Viertelfinale Playoff 4-5 (Best of 3)""";"""""";"""-""";;
"""20.09.2025, 13:00:00""";"""Samstag""";"""4001""";"""Spieltag 1""";"""USC2""";"""USC Münster e.V.""";"""RC Sorpesee""";"""RC Sorpesee 1956 e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:0 / 75:61""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 75:61""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""75:61""";"""77""";"""85""";"""3""";"""0""";"""25""";"""21""";"""26""";"""25""";"""23""";"""29""";"""25""";"""17""";"""22""";;;;;;;;;USC2;;;;;;
"""27.09.2025, 19:30:00""";"""Samstag""";"""4011""";"""Spieltag 2""";"""VC Osnabrück""";"""Volleyballclub Osnabrück e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""VC Osnabrück""";"""Volleyballclub Osnabrück e.V.""";"""1:3 / 72:87""";"""Sporthalle am Schlosswall (49080 Osnabrück)""";"""1:3 / 72:87""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""72:87""";"""81""";"""270""";"""1""";"""3""";"""15""";"""25""";"""23""";"""25""";"""12""";"""18""";"""17""";"""25""";"""22""";"""15""";"""25""";"""18""";;;;;;USC2;;;;;;
"""18.10.2025, 13:00:00""";"""Samstag""";"""4013""";"""Spieltag 3""";"""USC2""";"""USC Münster e.V.""";"""SSF Bonn""";"""Schwimm- und Sportfreunde Bonn 1905 e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:2 / 101:100""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:2 / 101:100""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""101:100""";"""105""";"""0""";"""3""";"""2""";"""14""";"""25""";"""21""";"""25""";"""15""";"""19""";"""22""";"""25""";"""25""";"""25""";"""23""";"""26""";"""15""";"""12""";"""14""";;;USC2;;;;;;
"""01.11.2025, 14:30:00""";"""Samstag""";"""4022""";"""Spieltag 4""";"""SC Potsdam II""";"""SC Potsdam e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""SC Potsdam II""";"""SC Potsdam e.V.""";"""1:3 / 87:96""";"""MBS Arena Potsdam (14471 Potsdam)""";"""1:3 / 87:96""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""87:96""";"""95""";"""138""";"""1""";"""3""";"""25""";"""21""";"""22""";"""18""";"""25""";"""21""";"""22""";"""25""";"""26""";"""22""";"""25""";"""26""";;;;;;USC2;;;;;;
"""08.11.2025, 15:00:00""";"""Samstag""";"""4145""";"""Spieltag 23""";"""USC2""";"""USC Münster e.V.""";"""VCO Münster""";"""VCO Münster e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:0 / 75:39""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 75:39""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""75:39""";"""57""";"""95""";"""3""";"""0""";"""25""";"""15""";"""19""";"""25""";"""13""";"""19""";"""25""";"""11""";"""19""";;;;;;;;;USC2;;;;;;
"""15.11.2025, 13:00:00""";"""Samstag""";"""4025""";"""Spieltag 5""";"""USC2""";"""USC Münster e.V.""";"""TV Cloppenburg""";"""Turnverein Cloppenburg von 1892 e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:1 / 97:69""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:1 / 97:69""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""97:69""";"""81""";"""75""";"""3""";"""1""";"""25""";"""13""";"""16""";"""22""";"""25""";"""25""";"""25""";"""15""";"""20""";"""25""";"""16""";"""20""";;;;;;USC2;;;;;;
"""22.11.2025, 19:00:00""";"""Samstag""";"""4033""";"""Spieltag 6""";"""BSV Ostbevern""";"""BSV Ostbevern 1923 e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""BSV Ostbevern""";"""BSV Ostbevern 1923 e.V.""";"""0:3 / 57:75""";"""Beverhalle (48346 Ostbevern)""";"""0:3 / 57:75""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""57:75""";"""68""";"""163""";"""0""";"""3""";"""17""";"""25""";"""21""";"""23""";"""25""";"""24""";"""17""";"""25""";"""23""";;;;;;;;;USC2;;;;;;
"""29.11.2025, 13:00:00""";"""Samstag""";"""4037""";"""Spieltag 7""";"""USC2""";"""USC Münster e.V.""";"""SCU Emlichheim""";"""SC Union Emlichheim e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""0:3 / 58:76""";"""Sporthalle Berg Fidel (48153 Münster)""";"""0:3 / 58:76""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""58:76""";"""71""";"""80""";"""0""";"""3""";"""18""";"""25""";"""23""";"""24""";"""26""";"""26""";"""16""";"""25""";"""22""";;;;;;;;;USC2;;;;;;
"""06.12.2025, 19:00:00""";"""Samstag""";"""4044""";"""Spieltag 8""";"""SV Energie Cottbus""";"""SV Energie Cottbus""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""SV Energie Cottbus""";"""SV Energie Cottbus""";"""0:3 / 59:75""";"""Hallenkomplex Poznaner Straße (03048 Cottbus)""";"""0:3 / 59:75""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""59:75""";"""71""";"""50""";"""0""";"""3""";"""22""";"""25""";"""25""";"""15""";"""25""";"""21""";"""22""";"""25""";"""25""";;;;;;;;;USC2;;;;;;
"""13.12.2025, 13:00:00""";"""Samstag""";"""4049""";"""Spieltag 9""";"""USC2""";"""USC Münster e.V.""";"""TUSA City Girls Düsseldorf""";"""DJK TUSA 06 Düsseldorf e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:1 / 91:87""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:1 / 91:87""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""91:87""";"""91""";"""80""";"""3""";"""1""";"""25""";"""14""";"""18""";"""27""";"""25""";"""26""";"""14""";"""25""";"""20""";"""25""";"""23""";"""27""";;;;;;USC2;;;;;;
"""20.12.2025, 15:00:00""";"""Samstag""";"""4055""";"""Spieltag 10""";"""USC2""";"""USC Münster e.V.""";"""Team 48 Hildesheim""";"""MTV 1848 Hildesheim""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:0 / 75:52""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 75:52""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""75:52""";"""66""";"""75""";"""3""";"""0""";"""25""";"""20""";"""24""";"""25""";"""20""";"""22""";"""25""";"""12""";"""20""";;;;;;;;;USC2;;;;;;
