Datum und Uhrzeit;Wochentag;#;ST;Heim;Mannschaft 1: Verein;Gast;Mannschaft 2: Verein;SR;Schiedsgericht: Verein;Gastgeber;Gastgeber: Verein;Austragungsort/Ergebnis;Ort;Ergebnis;Saison;Spielrunde;Geschlecht;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;Satzpunkte 2;Satz 1 - Ballpunkte 1;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer;Datum;Uhrzeit;USC_Team;Gruppen-Ebene;Spielgruppe;Spielfeld;Feldrunde;Datum_DT;Tag
"""20.12.2025, 15:30:00""";"""Samstag""";"""40""";"""Spieltag 10""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""USC4""";"""USC Münster e.V.""";"""SG Sendenhorst II""";"""SG Sendenhorst 1910 e.V.""";"""SG Sendenhorst II""";"""SG Sendenhorst 1910 e.V.""";"""3:1 / 100:95""";"""Westtorhalle (48324 Sendenhorst)""";"""3:1 / 100:95""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""100:95""";"""106""";;"""3""";"""1""";"""25""";"""23""";"""24""";"""24""";"""26""";"""26""";"""25""";"""22""";"""29""";"""26""";"""24""";"""27""";;;;;;USC4;;;;;;
"""10.01.2026, 15:00:00""";"""Samstag""";"""43""";"""Spieltag 11""";"""USC4""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""USC4""";"""USC Münster e.V.""";"""3:1 / 96:89""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 96:89""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""96:89""";"""103""";;"""3""";"""1""";"""19""";"""25""";"""23""";"""25""";"""23""";"""27""";"""27""";"""25""";"""31""";"""25""";"""16""";"""22""";;;;;;USC4;;;;;;
"""10.01.2026, 16:30:00""";"""Samstag""";"""44""";"""Spieltag 11""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""SC DJK Everswinkel""";"""SC DJK Everswinkel 1959 e.V.""";"""USC4""";"""USC Münster e.V.""";"""USC4""";"""USC Münster e.V.""";"""3:1 / 101:73""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 101:73""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""101:73""";"""109""";;"""3""";"""1""";"""26""";"""28""";"""50""";"""25""";"""11""";"""18""";"""25""";"""21""";"""22""";"""25""";"""13""";"""19""";;;;;;USC4;;;;;;
"""16.01.2026, 18:30:00""";"""Freitag""";"""31""";"""Spieltag 8""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""USC4""";"""USC Münster e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""3:1 / 97:76""";"""Beverhalle (48346 Ostbevern)""";"""3:1 / 97:76""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""97:76""";"""100""";;"""3""";"""1""";"""25""";"""13""";"""21""";"""22""";"""25""";"""25""";"""25""";"""20""";"""29""";"""25""";"""18""";"""25""";;;;;;USC4;;;;;;
"""18.01.2026, 15:00:00""";"""Sonntag""";"""47""";"""Spieltag 12""";"""SC DJK Everswinkel""";"""SC DJK Everswinkel 1959 e.V.""";"""USC4""";"""USC Münster e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""SC DJK Everswinkel""";"""SC DJK Everswinkel 1959 e.V.""";"""0:3 / 52:75""";"""Vitus-Sportcenter (48351 Everswinkel)""";"""0:3 / 52:75""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""52:75""";"""67""";;"""0""";"""3""";"""19""";"""25""";"""24""";"""10""";"""25""";"""18""";"""23""";"""25""";"""25""";;;;;;;;;USC4;;;;;;
"""01.02.2026, 11:00:00""";"""Sonntag""";"""53""";"""Spieltag 14""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""USC4""";"""USC Münster e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""2:3 / 103:101""";"""Beverhalle (48346 Ostbevern)""";"""2:3 / 103:101""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""103:101""";"""115""";;"""2""";"""3""";"""25""";"""16""";"""22""";"""22""";"""25""";"""25""";"""25""";"""20""";"""27""";"""23""";"""25""";"""27""";"""8""";"""15""";"""14""";;;USC4;;;;;;
"""01.02.2026, 12:30:00""";"""Sonntag""";"""54""";"""Spieltag 14""";"""USC4""";"""USC Münster e.V.""";"""SG Sendenhorst II""";"""SG Sendenhorst 1910 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""3:0 / 75:60""";"""Beverhalle (48346 Ostbevern)""";"""3:0 / 75:60""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""75:60""";"""71""";;"""3""";"""0""";"""25""";"""22""";"""25""";"""25""";"""21""";"""23""";"""25""";"""17""";"""23""";;;;;;;;;USC4;;;;;;
"""15.02.2026, 11:00:00""";"""Sonntag""";"""57""";"""Spieltag 15""";"""USC4""";"""USC Münster e.V.""";"""VSG Ibbenbüren""";"""DJK Arminia Ibbenbüren e.V.""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""USC4""";"""USC Münster e.V.""";"""1:3 / 84:101""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""1:3 / 84:101""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""84:101""";"""105""";;"""1""";"""3""";"""28""";"""26""";"""32""";"""19""";"""25""";"""24""";"""22""";"""25""";"""26""";"""15""";"""25""";"""23""";;;;;;USC4;;;;;;
"""15.02.2026, 12:30:00""";"""Sonntag""";"""58""";"""Spieltag 15""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""USC4""";"""USC Münster e.V.""";"""USC4""";"""USC Münster e.V.""";"""3:1 / 98:88""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 98:88""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""98:88""";"""112""";;"""3""";"""1""";"""25""";"""19""";"""29""";"""25""";"""22""";"""28""";"""23""";"""25""";"""27""";"""25""";"""22""";"""28""";;;;;;USC4;;;;;;
"""21.02.2026, 12:00:00""";"""Samstag""";"""63""";"""Spieltag 16""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""USC4""";"""USC Münster e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""0:3 / 51:75""";"""Städtisches Wilhelm-Hittorf-Gymnasium (48151 Münster)""";"""0:3 / 51:75""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""51:75""";"""70""";;"""0""";"""3""";"""16""";"""25""";"""24""";"""14""";"""25""";"""20""";"""21""";"""25""";"""26""";;;;;;;;;USC4;;;;;;
"""07.03.2026, 16:30:00""";"""Samstag""";"""68""";"""Spieltag 17""";"""TSC Gievenbeck III""";"""TSC Münster-Gievenbeck e.V.""";"""USC4""";"""USC Münster e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""0:3 / 57:75""";"""Beverhalle (48346 Ostbevern)""";"""0:3 / 57:75""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""57:75""";"""151""";;"""0""";"""3""";"""19""";"""25""";"""102""";"""20""";"""25""";"""26""";"""18""";"""25""";"""23""";;;;;;;;;USC4;;;;;;
"""21.03.2026, 15:00:00""";"""Samstag""";"""71""";"""Spieltag 18""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""VSG Ibbenbüren""";"""DJK Arminia Ibbenbüren e.V.""";"""USC4""";"""USC Münster e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""3:0 / 75:52""";"""Mühlenbachhalle (48268 Greven)""";"""3:0 / 75:52""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""75:52""";"""51""";;"""3""";"""0""";"""25""";"""20""";"""12""";"""25""";"""16""";"""19""";"""25""";"""16""";"""20""";;;;;;;;;USC4;;;;;;
"""21.03.2026, 16:30:00""";"""Samstag""";"""72""";"""Spieltag 18""";"""USC4""";"""USC Münster e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""3:1 / 91:86""";"""Mühlenbachhalle (48268 Greven)""";"""3:1 / 91:86""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""91:86""";"""120""";;"""3""";"""1""";"""16""";"""25""";"""48""";"""25""";"""21""";"""24""";"""25""";"""21""";"""25""";"""25""";"""19""";"""23""";;;;;;USC4;;;;;;
"""21.09.2025, 12:00:00""";"""Sonntag""";"""1""";"""Spieltag 1""";"""USC6""";"""USC Münster e.V.""";"""USC5""";"""USC Münster e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""USC6""";"""USC Münster e.V.""";"""0:3 / 62:75""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""0:3 / 62:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""62:75""";"""62""";;"""0""";"""3""";"""22""";"""25""";"""17""";"""21""";"""25""";"""24""";"""19""";"""25""";"""21""";;;;;;;;;USC6;;;;;;
"""21.09.2025, 13:15:00""";"""Sonntag""";"""2""";"""Spieltag 1""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC6""";"""USC Münster e.V.""";"""USC6""";"""USC Münster e.V.""";"""1:3 / 84:92""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""1:3 / 84:92""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""84:92""";"""154""";;"""1""";"""3""";"""25""";"""17""";"""76""";"""23""";"""25""";"""29""";"""18""";"""25""";"""26""";"""18""";"""25""";"""23""";;;;;;USC6;;;;;;
"""04.10.2025, 16:15:00""";"""Samstag""";"""6""";"""Spieltag 2""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""USC6""";"""USC Münster e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""1:3 / 88:95""";"""Sporthalle der Mosaikschule (48161 Münster)""";"""1:3 / 88:95""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""88:95""";"""204""";;"""1""";"""3""";"""25""";"""20""";"""117""";"""20""";"""25""";"""25""";"""22""";"""25""";"""33""";"""21""";"""25""";"""29""";;;;;;USC6;;;;;;
"""05.10.2025, 14:30:00""";"""Sonntag""";"""7""";"""Spieltag 2""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC5""";"""USC Münster e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""3:1 / 87:81""";"""St. Marien Grundschule (48301 Nottuln)""";"""3:1 / 87:81""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""87:81""";"""75""";;"""3""";"""1""";"""12""";"""25""";"""10""";"""25""";"""19""";"""22""";"""25""";"""20""";"""22""";"""25""";"""17""";"""21""";;;;;;USC5;;;;;;
"""05.10.2025, 15:45:00""";"""Sonntag""";"""8""";"""Spieltag 2""";"""USC5""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""1:3 / 83:88""";"""St. Marien Grundschule (48301 Nottuln)""";"""1:3 / 83:88""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""83:88""";"""163""";;"""1""";"""3""";"""21""";"""25""";"""97""";"""25""";"""13""";"""22""";"""18""";"""25""";"""21""";"""19""";"""25""";"""23""";;;;;;USC5;;;;;;
"""10.10.2025, 18:00:00""";"""Freitag""";"""12""";"""Spieltag 3""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""USC5""";"""USC Münster e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""0:3 / 46:75""";"""Sporthalle der Mosaikschule (48161 Münster)""";"""0:3 / 46:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""46:75""";"""65""";;"""0""";"""3""";"""17""";"""25""";"""22""";"""13""";"""25""";"""19""";"""16""";"""25""";"""24""";;;;;;;;;USC5;;;;;;
"""11.10.2025, 12:00:00""";"""Samstag""";"""9""";"""Spieltag 3""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC6""";"""USC Münster e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""3:2 / 107:93""";"""Mathilde-Anneke-Gesamtschule (48145 Münster)""";"""3:2 / 107:93""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""107:93""";"""120""";;"""3""";"""2""";"""25""";"""21""";"""25""";"""23""";"""25""";"""28""";"""19""";"""25""";"""29""";"""25""";"""16""";"""25""";"""15""";"""6""";"""13""";;;USC6;;;;;;
"""11.10.2025, 15:00:00""";"""Samstag""";"""11""";"""Spieltag 3""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""USC5""";"""USC Münster e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""0:3 / 51:75""";"""2,5fach-Sporthalle Middelfeld (48157 Münster)""";"""0:3 / 51:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""51:75""";"""69""";;"""0""";"""3""";"""16""";"""25""";"""21""";"""17""";"""25""";"""24""";"""18""";"""25""";"""24""";;;;;;;;;USC5;;;;;;
"""25.10.2025, 12:00:00""";"""Samstag""";"""15""";"""Spieltag 4""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC6""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""3:0 / 75:64""";"""Sporthalle der Bonhoeffer Schule (48151 Münster)""";"""3:0 / 75:64""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""75:64""";"""78""";;"""3""";"""0""";"""25""";"""23""";"""26""";"""25""";"""22""";"""27""";"""25""";"""19""";"""25""";;;;;;;;;USC6;;;;;;
"""25.10.2025, 13:15:00""";"""Samstag""";"""16""";"""Spieltag 4""";"""USC6""";"""USC Münster e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""0:3 / 54:75""";"""Sporthalle der Bonhoeffer Schule (48151 Münster)""";"""0:3 / 54:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""54:75""";"""75""";;"""0""";"""3""";"""12""";"""25""";"""18""";"""20""";"""25""";"""28""";"""22""";"""25""";"""29""";;;;;;;;;USC6;;;;;;
"""26.10.2025, 12:00:00""";"""Sonntag""";"""13""";"""Spieltag 4""";"""USC5""";"""USC Münster e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""USC5""";"""USC Münster e.V.""";"""3:1 / 98:80""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 98:80""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""98:80""";"""98""";;"""3""";"""1""";"""23""";"""25""";"""28""";"""25""";"""12""";"""20""";"""25""";"""20""";"""25""";"""25""";"""23""";"""25""";;;;;;USC5;;;;;;
"""26.10.2025, 13:15:00""";"""Sonntag""";"""14""";"""Spieltag 4""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""USC5""";"""USC Münster e.V.""";"""USC5""";"""USC Münster e.V.""";"""3:0 / 75:62""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:0 / 75:62""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""75:62""";"""50""";;"""3""";"""0""";"""25""";"""19""";"""4""";"""25""";"""22""";"""23""";"""25""";"""21""";"""23""";;;;;;;;;USC5;;;;;;
"""02.11.2025, 12:00:00""";"""Sonntag""";"""19""";"""Spieltag 5""";"""USC6""";"""USC Münster e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC6""";"""USC Münster e.V.""";"""3:2 / 110:101""";"""Halle Berg Fidel (48151 Münster)""";"""3:2 / 110:101""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""110:101""";"""130""";;"""3""";"""2""";"""22""";"""25""";"""33""";"""25""";"""19""";"""24""";"""26""";"""24""";"""31""";"""22""";"""25""";"""27""";"""15""";"""8""";"""15""";;;USC6;;;;;;
"""02.11.2025, 13:15:00""";"""Sonntag""";"""20""";"""Spieltag 5""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""USC6""";"""USC Münster e.V.""";"""USC6""";"""USC Münster e.V.""";"""1:3 / 83:88""";"""Halle Berg Fidel (48151 Münster)""";"""1:3 / 83:88""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""83:88""";"""214""";;"""1""";"""3""";"""24""";"""26""";"""148""";"""19""";"""25""";"""24""";"""25""";"""12""";"""19""";"""15""";"""25""";"""23""";;;;;;USC6;;;;;;
"""02.11.2025, 15:45:00""";"""Sonntag""";"""18""";"""Spieltag 5""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""USC5""";"""USC Münster e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""2:3 / 96:108""";"""St. Marien Grundschule (48301 Nottuln)""";"""2:3 / 96:108""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""96:108""";"""109""";;"""2""";"""3""";"""18""";"""25""";"""25""";"""25""";"""23""";"""26""";"""25""";"""20""";"""23""";"""22""";"""25""";"""24""";"""6""";"""15""";"""11""";;;USC5;;;;;;
"""15.11.2025, 12:00:00""";"""Samstag""";"""23""";"""Spieltag 6""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC5""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""0:3 / 55:75""";"""Mathilde-Anneke-Gesamtschule (48145 Münster)""";"""0:3 / 55:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""55:75""";"""77""";;"""0""";"""3""";"""14""";"""25""";"""24""";"""19""";"""25""";"""25""";"""22""";"""25""";"""28""";;;;;;;;;USC5;;;;;;
"""15.11.2025, 13:15:00""";"""Samstag""";"""24""";"""Spieltag 6""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""USC6""";"""USC Münster e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""3:0 / 75:48""";"""Mathilde-Anneke-Gesamtschule (48145 Münster)""";"""3:0 / 75:48""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""75:48""";"""72""";;"""3""";"""0""";"""25""";"""16""";"""25""";"""25""";"""12""";"""19""";"""25""";"""20""";"""28""";;;;;;;;;USC6;;;;;;
"""06.12.2025, 11:30:00""";"""Samstag""";"""25""";"""Spieltag 7""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""USC6""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""3:1 / 98:72""";"""Erich-Klausener-Schule (48151 Münster)""";"""3:1 / 98:72""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""98:72""";"""96""";;"""3""";"""1""";"""25""";"""20""";"""25""";"""25""";"""14""";"""23""";"""23""";"""25""";"""26""";"""25""";"""13""";"""22""";;;;;;USC6;;;;;;
"""06.12.2025, 12:45:00""";"""Samstag""";"""26""";"""Spieltag 7""";"""USC6""";"""USC Münster e.V.""";"""SV Arminia Appelhülsen II""";"""SV Arminia Appelhülsen e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""2:3 / 98:102""";"""Erich-Klausener-Schule (48151 Münster)""";"""2:3 / 98:102""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""98:102""";"""188""";;"""2""";"""3""";"""25""";"""16""";"""95""";"""19""";"""25""";"""24""";"""25""";"""21""";"""27""";"""22""";"""25""";"""27""";"""7""";"""15""";"""15""";;;USC6;;;;;;
"""07.12.2025, 12:00:00""";"""Sonntag""";"""27""";"""Spieltag 7""";"""USC5""";"""USC Münster e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC5""";"""USC Münster e.V.""";"""1:3 / 81:87""";"""Halle Berg Fidel (48151 Münster)""";"""1:3 / 81:87""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""81:87""";"""88""";;"""1""";"""3""";"""25""";"""12""";"""18""";"""17""";"""25""";"""23""";"""19""";"""25""";"""22""";"""20""";"""25""";"""25""";;;;;;USC5;;;;;;
"""07.12.2025, 13:15:00""";"""Sonntag""";"""28""";"""Spieltag 7""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""SV Blau-Weiß Aasee V""";"""SV Blau-Weiß Aasee e.V.""";"""USC5""";"""USC Münster e.V.""";"""USC5""";"""USC Münster e.V.""";"""0:3 / 50:75""";"""Halle Berg Fidel (48151 Münster)""";"""0:3 / 50:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""50:75""";"""50""";;"""0""";"""3""";"""18""";"""25""";"""5""";"""14""";"""25""";"""22""";"""18""";"""25""";"""23""";;;;;;;;;USC5;;;;;;
"""16.12.2025, 18:15:00""";"""Dienstag""";"""29""";"""Spieltag 8""";"""USC5""";"""USC Münster e.V.""";"""USC6""";"""USC Münster e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""USC5""";"""USC Münster e.V.""";"""3:0 / 75:55""";"""Halle Berg Fidel (48151 Münster)""";"""3:0 / 75:55""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""75:55""";"""88""";;"""3""";"""0""";"""25""";"""15""";"""36""";"""25""";"""20""";"""26""";"""25""";"""20""";"""26""";;;;;;;;;USC6;;;;;;
"""21.12.2025, 14:00:00""";"""Sonntag""";"""30""";"""Spieltag 8""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""USC5""";"""USC Münster e.V.""";"""TuS Saxonia Münster IV""";"""TuS Saxonia Münster 1883 e.V.""";"""3:1 / 96:86""";"""Mathilde-Anneke-Gesamtschule (48145 Münster)""";"""3:1 / 96:86""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""96:86""";"""128""";;"""3""";"""1""";"""21""";"""25""";"""55""";"""25""";"""18""";"""26""";"""25""";"""23""";"""23""";"""25""";"""20""";"""24""";;;;;;USC5;;;;;;
"""17.01.2026, 15:00:00""";"""Samstag""";"""33""";"""Spieltag 9""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""TSC Gievenbeck IV""";"""TSC Münster-Gievenbeck e.V.""";"""USC6""";"""USC Münster e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""3:2 / 117:110""";"""2,5fach-Sporthalle Middelfeld (48157 Münster)""";"""3:2 / 117:110""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""117:110""";"""132""";;"""3""";"""2""";"""25""";"""22""";"""24""";"""25""";"""22""";"""29""";"""28""";"""30""";"""35""";"""24""";"""26""";"""29""";"""15""";"""10""";"""15""";;;USC6;;;;;;
"""17.01.2026, 16:15:00""";"""Samstag""";"""34""";"""Spieltag 9""";"""USC6""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee VI""";"""SV Blau-Weiß Aasee e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""TSV Handorf""";"""TSV Handorf 1926/64 e.V.""";"""0:3 / 61:75""";"""2,5fach-Sporthalle Middelfeld (48157 Münster)""";"""0:3 / 61:75""";"""2025/26""";"""Bezirksklasse 26 Frauen""";"""weiblich""";"""61:75""";"""197""";;"""0""";"""3""";"""20""";"""25""";"""148""";"""22""";"""25""";"""25""";"""19""";"""25""";"""24""";;;;;;;;;USC6;;;;;;
